coc_number,coc_name,total_homeless,chronically_homeless,sheltered_homeless,unsheltered_homeless,homeless_veterans,homeless_people_in_families,homeless_unaccompanied_youth,value
FL-506,Tallahassee/Leon County CoC,869,81,721,148,117,234,64,50743179
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",1670,106,1537,133,231,576,96,27277260
FL-508,"Gainesville/Alachua, Putnam Counties CoC",844,265,419,425,123,248,44,31793560
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2382,77,248,2134,50,1457,105,11381518
FL-510,"Jacksonville-Duval, Clay Counties CoC",1959,337,1518,441,130,493,107,17971188
FL-511,Pensacola/Escambia/Santa Rosa County CoC,798,216,616,182,112,183,52,16644986
FL-512,Saint Johns County CoC,1064,35,255,809,36,283,17,1018127
FL-513,Palm Bay/Melbourne/Brevard County CoC,827,193,644,183,160,322,60,18568280
FL-514,Ocala/Marion County CoC,823,65,295,528,108,173,46,3872192
FL-515,"Panama City/Bay, Jackson Counties CoC",310,30,174,136,39,44,25,9483781
FL-517,"Hendry, Hardee, Highlands Counties CoC",1071,335,313,758,12,470,50,8404177
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",1145,216,96,1049,140,260,266,444933
FL-519,Pasco County CoC,1055,404,195,860,100,262,188,12446180
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",595,33,303,292,49,181,30,18945441
FL-600,Miami/Dade County CoC,4235,472,3253,982,157,1053,177,138117692
FL-601,Ft Lauderdale/Broward County CoC,2302,430,1520,782,210,458,144,24852014
FL-602,Punta Gorda/Charlotte County CoC,388,76,134,254,65,165,8,2727137
FL-603,Ft Myers/Cape Coral/Lee County CoC,439,90,256,183,19,129,34,11539733
FL-604,Monroe County CoC,575,126,305,270,87,78,31,19494436
FL-605,West Palm Beach/Palm Beach County CoC,1332,459,507,825,115,324,63,39282128
FL-606,Naples/Collier County CoC,545,73,328,217,5,207,67,45377028
GA-500,Atlanta Continuum of Care,4063,556,3225,838,369,453,347,122348730
GA-501,Georgia Balance of State CoC,5575,883,2057,3518,468,2183,210,175164914
GA-502,Fulton County Continuum of Care,483,28,422,61,57,201,49,0
GA-503,Athens/Clarke County CoC,224,49,148,76,14,68,9,11542138
GA-504,Augusta CoC,287,42,266,21,48,95,5,17655703
GA-505,Columbus-Muscogee/Russell County CoC,329,35,243,86,17,57,11,20554632
GA-506,Marietta/Cobb County CoC,405,43,314,91,21,200,10,1656929
GA-507,Savannah/Chatham County CoC,1070,155,553,517,29,147,56,6905586
GA-508,DeKalb County Continuum of Care,473,24,315,158,32,240,28,8579161
GU-500,Guam CoC,1085,55,112,973,21,858,7,6348022
HI-500,Hawaii Balance of State CoC,2981,859,846,2135,257,1188,141,18890874
HI-501,Honolulu CoC,4940,1090,2767,2173,413,2143,168,39132475
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",348,17,339,9,15,185,9,41546968
IA-501,Iowa Balance of State CoC,1923,101,1858,65,58,1101,112,95810803
IA-502,Des Moines/Polk County CoC,793,66,724,69,97,235,39,0
ID-500,Boise/Ada County CoC,867,140,742,125,157,187,53,15211537
ID-501,Idaho Balance of State,1380,197,767,613,110,776,77,74751331
IL-500,McHenry County CoC,154,7,150,4,24,52,0,266539
IL-501,"Rockford/Winnebago, Boone Counties CoC",255,47,207,48,13,80,11,13804377
IL-502,Waukegan/North Chicago/Lake County CoC,299,32,280,19,11,156,10,10918755
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,188,5,170,18,10,64,22,7399137
IL-504,Madison County CoC,199,23,176,23,7,148,5,25016280
IL-506,Joliet/Bolingbrook/Will County CoC,290,17,242,48,23,95,12,59662159
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",378,92,308,70,12,107,68,12272238
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,240,41,157,83,34,108,10,17263248
IL-509,Dekalb City & County CoC,81,0,77,4,2,38,7,726104
IL-510,Chicago CoC,5889,343,4646,1243,601,2168,309,173560682
IL-511,Cook County CoC,952,128,842,110,81,396,45,62126257
IL-512,Bloomington/Central Illinois CoC,411,83,363,48,25,196,37,7583849
IL-513,Springfield/Sangamon County CoC,261,38,246,15,22,85,14,16727870
IL-514,DuPage County CoC,555,37,525,30,14,351,52,12585748
IL-515,South Central Illinois CoC,133,5,121,12,1,89,2,8899967
IL-516,Decatur/Macon County CoC,157,23,150,7,12,47,12,6881742
IL-517,Aurora/Elgin/Kane County CoC,355,76,341,14,17,86,19,23119268
