coc_number,coc_name,total_homeless,chronically_homeless,sheltered_homeless,unsheltered_homeless,homeless_veterans,homeless_people_in_families,homeless_unaccompanied_youth,value
SC-503,Myrtle Beach/Sumter City & County CoC,1322,229,490,832,231,357,101,58480945
SD-500,South Dakota Statewide CoC,1072,44,887,185,120,524,77,65727477
TN-500,Chattanooga/Southeast Tennessee CoC,527,91,450,77,53,166,20,29574345
TN-501,Memphis/Shelby County CoC,1669,106,1548,121,240,548,63,48996096
TN-502,Knoxville/Knox County CoC,748,134,667,81,102,74,41,11456559
TN-503,Central Tennessee CoC,296,32,270,26,48,69,18,25287092
TN-504,Nashville/Davidson County CoC,2365,978,1692,673,230,296,88,44847788
TN-506,Oak Ridge/Upper Cumberland CoC,249,30,187,62,13,114,8,14601927
TN-507,Jackson/West Tennessee CoC,1541,164,163,1378,57,422,76,26340680
TN-509,Appalachian Regional CoC,448,117,299,149,56,82,25,21469649
TN-510,Murfreesboro/Rutherford County CoC,306,37,187,119,21,68,39,12473551
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",630,93,310,320,11,288,38,24837616
TX-500,San Antonio/Bexar County CoC,2781,521,1644,1137,263,733,167,118678896
TX-503,Austin/Travis County CoC,2138,742,1322,816,257,625,111,57440714
TX-600,Dallas City & County/Irving CoC,3810,597,3071,739,307,1177,153,92520983
TX-601,Fort Worth/Arlington/Tarrant County CoC,1938,189,1515,423,205,559,74,41048533
TX-603,El Paso City & County CoC,1100,105,987,113,71,516,56,51755870
TX-604,Waco/McLennan County CoC,267,35,224,43,17,147,15,12407439
TX-607,Texas Balance of State (BoS) CoC,6048,853,3660,2388,64,2150,457,470385022
TX-611,Amarillo CoC,592,85,572,20,57,147,1,0
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",256,36,234,22,0,52,30,11939201
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",4031,516,2835,1196,523,976,239,156657202
TX-701,Bryan/College Station/Brazos Valley CoC,161,10,150,11,4,81,6,4739747
UT-500,Salt Lake City & County CoC,1891,164,1834,57,275,631,77,46638966
UT-503,Utah Balance of State CoC,738,17,600,138,57,277,53,55462158
UT-504,Provo/Mountainland CoC,178,9,137,41,3,71,20,12828635
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",762,94,692,70,118,138,40,34590356
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",723,34,638,85,78,197,29,11032633
VA-502,Roanoke City & County/Salem CoC,308,73,301,7,45,90,19,3564427
VA-503,Virginia Beach CoC,389,27,339,50,40,155,31,1433825
VA-504,Charlottesville CoC,157,33,135,22,16,46,8,4744915
VA-505,Newport News/Hampton/Virginia Peninsula CoC,464,53,407,57,65,145,14,21594515
VA-507,Portsmouth CoC,169,12,124,45,10,50,5,5015661
VA-508,Lynchburg CoC,174,17,153,21,12,49,14,3373998
VA-513,"Harrisburg, Winchester/Western Virginia CoC",268,69,261,7,10,95,13,1515410
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",209,13,175,34,13,82,16,4676483
VA-521,Virginia Balance of State (BoS) CoC,654,58,498,156,29,260,59,72542260
VA-600,Arlington County CoC,174,41,155,19,5,50,6,2310679
VA-601,Fairfax County CoC,1059,149,985,74,37,575,44,32963323
VA-602,Loudoun County CoC,134,16,115,19,4,69,5,2132861
VA-603,City of Alexandria CoC,224,47,212,12,5,95,8,9717077
VA-604,Prince William County CoC,400,57,312,88,28,213,11,3306029
VI-500,Virgin Islands CoC,341,26,89,252,32,33,8,14252269
VT-500,Vermont Balance of State CoC,785,59,691,94,79,335,51,38002578
VT-501,Burlington/Chittenden County CoC,332,68,270,62,31,127,20,9300527
WA-500,Seattle/King County CoC,10730,814,6225,4505,656,2982,724,130847904
WA-501,Washington Balance of State CoC,5294,788,2759,2535,422,2113,313,119662098
WA-502,Spokane City & County CoC,981,188,809,172,103,304,59,23871790
WA-503,Tacoma/Lakewood/Pierce County CoC,1762,388,1268,494,190,700,90,13457025
WA-504,Everett/Snohomish County CoC,960,254,489,471,58,258,80,20749480
WA-507,Yakima City & County CoC,412,72,348,64,15,201,9,43064305
WA-508,Vancouver/Clark County CoC,688,63,463,225,40,369,32,8922790
WI-500,Wisconsin Balance of State CoC,3445,187,3313,132,236,1898,170,101899098
WI-501,Milwaukee City & County CoC,1415,58,1208,207,97,559,123,55000853
WI-502,Racine City & County CoC,196,2,195,1,33,73,13,5113495
WI-503,Madison/Dane County CoC,629,116,559,70,49,269,31,27078954
WV-500,Wheeling/Weirton Area CoC,91,28,88,3,9,27,5,8296749
WV-501,"Huntington/Cabell, Wayne Counties CoC",228,13,212,16,11,92,20,9335670
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",320,40,288,32,24,54,25,12626306
WV-508,West Virginia Balance of State CoC,748,84,664,84,99,175,45,77888375
WY-500,Wyoming Statewide CoC,857,91,491,366,87,340,31,25439857
