"sub","name","size"
"OFFICE OF INSPECTOR GENERAL","DATAWIZ CORPORATION",202188
"OFFICE OF INSPECTOR GENERAL","CENTER FOR ORGANIZATIONAL EXCELLENCE, INCORPORATED, THE",186000
"OFFICE OF INSPECTOR GENERAL","ALTER MODUS INTERNATIONAL CORPORATION",169912.28
"OFFICE OF INSPECTOR GENERAL","MANAGEMENT CONCEPTS INCORPORATED",157498
"OFFICE OF INTELLIGENCE AND ANALYSIS","HP ENTERPRISE SERVICES, LLC",981672.48
"OFFICE OF INTELLIGENCE AND ANALYSIS","ISS ACTION, INC.",693593.1
"OFFICE OF INTELLIGENCE AND ANALYSIS","TECHNICAL AND PROJECT ENGINEERING, LLC",176325.8
"OFFICE OF INTELLIGENCE AND ANALYSIS","TASC MANAGEMENT CORPORATION",64845
"OFFICE OF INTELLIGENCE AND ANALYSIS","ABM FEDERAL SALES, INC.",64434.07
"OFFICE OF INTELLIGENCE AND ANALYSIS","OAG AVIATION WORLDWIDE LLC",13908
"OFFICE OF INTELLIGENCE AND ANALYSIS","METRO OFFICE PRODUCTS, LLC",9564.8
"OFFICE OF INTELLIGENCE AND ANALYSIS","SYSTEMS RESEARCH AND APPLICATI",3038.54
"OFFICE OF INTELLIGENCE AND ANALYSIS","AVENZA SYSTEMS INC",2094
"OFFICE OF INTELLIGENCE AND ANALYSIS","CALIFORNIA SUITES",2049.2
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","MISCELLANEOUS FOREIGN AWARDEES",454998.55
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","CREATIVE BUS SALES, INC.",263600
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","GTT GLOBAL TELECOM GOVERNMENT SERVICES, LLC",203420
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","PR ENTREPRISE S.A.",13566
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","OKAY OTO PARTS S.A.",9265.2
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","PRESIDENT AND FELLOWS OF HARVARD COLLEGE",5495
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","PACKING SERVICES INTERNATIONAL S A",4627.9
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","AMERICAN MANAGEMENT ASSOCIATION INTERNATIONAL",3589
"OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS","AT&T MOBILITY LLC",14.39
"OFFICE OF JOB CORPS","IRONCLAD SERVICES, INC.",852675
"OFFICE OF JOB CORPS","HUMANITAS, INC.",839917.27
"OFFICE OF JOB CORPS","IMPAQ INTERNATIONAL LLC",805000
"OFFICE OF JOB CORPS","C H P INTERNATIONAL, INC.",698415
"OFFICE OF JOB CORPS","CENTRAL TEXAS EXPRESS METALWORK LLC",665159.36
"OFFICE OF JOB CORPS","CARAHSOFT TECHNOLOGY CORP.",654644.9
"OFFICE OF JOB CORPS","NAGAN CONSTRUCTION INC.",565520
"OFFICE OF JOB CORPS","TRANSCOR, INC.",500000
"OFFICE OF JOB CORPS","BUSINESS INTEGRA TECHNOLOGY SOLUTIONS, INC",486064.4
"OFFICE OF JOB CORPS","OVERALL CONTRACTORS GROUP, INC.",477170.72
"OFFICE OF JUSTICE PROGRAMS","FEDERAL MANAGEMENT SYSTEMS INC",802814.3
"OFFICE OF JUSTICE PROGRAMS","ACCELERA SOLUTIONS, INC.",791271.98
"OFFICE OF JUSTICE PROGRAMS","WORLD WIDE TECHNOLOGY, INC.",709451.08
"OFFICE OF JUSTICE PROGRAMS","ICF INCORPORATED, L.L.C.",696270
"OFFICE OF JUSTICE PROGRAMS","STERLING COMPUTERS CORPORATION",660551.12
"OFFICE OF JUSTICE PROGRAMS","DISTRIBUTED SOLUTIONS, INC",645196.74
"OFFICE OF JUSTICE PROGRAMS","ROCK CREEK PUBLISHING GROUP INC.",525169.29
"OFFICE OF JUSTICE PROGRAMS","MCKINSEY & COMPANY, INC. WASHINGTON D.C.",459525.93
"OFFICE OF JUSTICE PROGRAMS","DELOITTE CONSULTING LLP",455000
"OFFICE OF JUSTICE PROGRAMS","EPOCH CONCEPTS, LLC",429632.32
"OFFICE OF LABOR-MANAGEMENT STANDARDS","SYSTEMS INTEGRATION & DEVELOPM",124239.55
"OFFICE OF LABOR-MANAGEMENT STANDARDS","OFFICE LEADER CORP.",50925
"OFFICE OF LABOR-MANAGEMENT STANDARDS","GALOIS, INC.",50000
"OFFICE OF LABOR-MANAGEMENT STANDARDS","22ND CENTURY TECHNOLOGIES INC.",26560
"OFFICE OF LABOR-MANAGEMENT STANDARDS","SUMURI LLC",16990
"OFFICE OF LABOR-MANAGEMENT STANDARDS","KYOCERA DOCUMENT SOLUTIONS AMERICA, INC.",5731.08
"OFFICE OF LABOR-MANAGEMENT STANDARDS","KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED",5022.11
"OFFICE OF LABOR-MANAGEMENT STANDARDS","XEROX CORPORATION",3654.28
"OFFICE OF LABOR-MANAGEMENT STANDARDS","KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC.",2448.43
"OFFICE OF LABOR-MANAGEMENT STANDARDS","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",2169.51
"OFFICE OF MEDICARE HEARINGS AND APPEALS (OMHA)","CACI INC FEDERAL",591450.69
"OFFICE OF MEDICARE HEARINGS AND APPEALS (OMHA)","CORPORATE MOVE MANAGEMENT SERVICES, INC.",27400
"OFFICE OF MISSION ASSURANCE","MICROPACT, INC.",42992.94
"OFFICE OF MISSION ASSURANCE","KPAUL PROPERTIES, LLC",4879
"OFFICE OF PERSONNEL MANAGEMENT","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",849012.29
"OFFICE OF PERSONNEL MANAGEMENT","ENLIGHTENED, INC.",784137.6
"OFFICE OF PERSONNEL MANAGEMENT","TANTUS TECHNOLOGIES, INC.",780144.8
"OFFICE OF PERSONNEL MANAGEMENT","GRANT THORNTON LLP",749326.11
"OFFICE OF PERSONNEL MANAGEMENT","ALVAREZ & ASSOCIATES, LLC",741105.88
"OFFICE OF PERSONNEL MANAGEMENT","BOOZ ALLEN HAMILTON INC.",713344.8
"OFFICE OF PERSONNEL MANAGEMENT","SYSTEMS RESEARCH AND APPLICATI",708125
"OFFICE OF PERSONNEL MANAGEMENT","POTOMAC ELECTRIC POWER COMPANY",600000
"OFFICE OF PERSONNEL MANAGEMENT","GREENZONE SOLUTIONS, INC.",521096.23
"OFFICE OF PERSONNEL MANAGEMENT","AMERICAN SECURITY PROGRAMS, IN",506586.56
"OFFICE OF SPECIAL COUNSEL","WEST PUBLISHING CORPORATION",58955.76
"OFFICE OF SPECIAL COUNSEL","GOVCONNECTION, INC.",55866.8
"OFFICE OF SPECIAL COUNSEL","GEAR ONE ENTERPRISE CORPORATION",8910
"OFFICE OF SPECIAL COUNSEL","RELX INC.",8160
"OFFICE OF SPECIAL COUNSEL","MANAGEMENT SUPPORT TECHNOLOGY",7411.2
"OFFICE OF SPECIAL COUNSEL","KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED",0
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","JACKSON AND JACKSON RECLAMATION SERVICE, INC.",149125
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","FCA US LLC",135305
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","GLOBAL TECHNOLOGY RESOURCES, INC.",108922.9
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",107877.48
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","FORD MOTOR COMPANY",65078
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","CARLSON SOFTWARE, INC.",48000
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","ENCORE HOTEL OWNERS II OF EVANSVILLE, LLC",25800
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","RIVERS EDGE ENVIRONMENTAL SERVICES, INC.",21833.09
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","HURRICANE INDUSTRIES, LLC",18942.42
"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","HOTEL 50 S FRONT OPCO LP",16703.5
"OFFICE OF THE ADMINISTRATOR(ACMD)","COMMUNICATION TRAINING & ANALY",206107.15
"OFFICE OF THE ADMINISTRATOR(ACMD)","RICOH USA, INC.",8499.72
"OFFICE OF THE ADMINISTRATOR(ACMD)","MICROPACT, INC.",5138.25
"OFFICE OF THE ADMINISTRATOR(ACMD)","DIGITAL FOUNDATION COMPUTER CONSULTING SERVICES CORP., INC.",-2350.64
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","SOFT TECH CONSULTING, INC.",962172.4
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","VTO, INC",928541.43
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","TRIBAL TECH LLC",906005.4
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","YOUR RECRUITING COMPANY INCORPORATED",878319.12
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","CYBER SECURITY SOLUTIONS LLC",878237.12
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","PRINCE OF WALES TRIBAL ENTERPRISE CONSORTIUM LLC",861341.95
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","LIFE TECHNOLOGIES CORPORATION",848666.97
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","DOUGHERTY & ASSOCIATES, INC.",843416
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","GLOBAL TECH INC.",825863.35
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","FISHER SCIENTIFIC COMPANY L.L.C.",817923.87
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","SEVATEC INC.",732650.09
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","OXFORD GOVERNMENT CONSULTING, LLC",599627.24
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","NET DIGITAL SOLUTIONS LLC",578229.26
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","5X TECHNOLOGY, LLC",509960.54
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","GRA, INC.",475572.58
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","NUAXIS LLC",409973.67
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","STERLING COMPUTERS CORPORATION",393737.01
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","FRONTIER TECHNOLOGIES INC",382460.87
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","NEW TECH SOLUTIONS, INC.",346407.42
"OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","DEFINITIVE LOGIC CORPORATION",329021.4
"OFFICE OF THE ASSISTANT SECRETARY FOR POLICY","URBAN INSTITUTE",51976.51
"OFFICE OF THE CHIEF FINANCIAL OFFICER","TECHNOMICS INC",960050
"OFFICE OF THE CHIEF FINANCIAL OFFICER","CONCUR TECHNOLOGIES, INC.",739075.81
"OFFICE OF THE CHIEF FINANCIAL OFFICER","ERNST AND YOUNG LLP",364980
"OFFICE OF THE CHIEF FINANCIAL OFFICER","CSRA LLC",143011.75
"OFFICE OF THE CHIEF FINANCIAL OFFICER","DELL FEDERAL SYSTEMS L.P.",18776.34
"OFFICE OF THE CHIEF FINANCIAL OFFICER","TECOLOTE RESEARCH, INC.",13750
"OFFICE OF THE CHIEF FINANCIAL OFFICER","WASHINGTON CONVENTION CTR AUTH",9100
"OFFICE OF THE CHIEF FINANCIAL OFFICER","PISTOLSTAR, INC.",6500
"OFFICE OF THE CHIEF FINANCIAL OFFICER","GIL GENERAL AND ELECTRICAL CONTRACTORS INC",3420
"OFFICE OF THE CHIEF FINANCIAL OFFICER","PRG-SCHULTZ USA, INC",0.01
"OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER","VISIONARY INTEGRATION PROFESSIONALS LLC",910589.28
"OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER","ECONOMIC SYSTEMS, INC.",113123.47
"OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER","HISPANIC ASSOCIATION OF COLLEGES AND UNIVERSITIES",10944.48
"OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER","E GROUP, INC., THE",4742.12
"OFFICE OF THE CHIEF INFORMATION OFFICER","MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION",897025
"OFFICE OF THE CHIEF INFORMATION OFFICER","BAYFIRST SOLUTIONS LLC",827090.88
"OFFICE OF THE CHIEF INFORMATION OFFICER","MONSTER GOVERNMENT SOLUTIONS, LLC",785860
"OFFICE OF THE CHIEF INFORMATION OFFICER","IMMIXTECHNOLOGY, INC.",724679.72
"OFFICE OF THE CHIEF INFORMATION OFFICER","MAD SECURITY, LLC",701787.01
"OFFICE OF THE CHIEF INFORMATION OFFICER","BUSINESS STRATEGY CONSULTANTS LLC",672537.34
"OFFICE OF THE CHIEF INFORMATION OFFICER","FORCE 3, LLC",608197.56
"OFFICE OF THE CHIEF INFORMATION OFFICER","UNISYS CORPORATION",542236.74
"OFFICE OF THE CHIEF INFORMATION OFFICER","ANACAPA MICRO PRODUCTS, INC.",514532.4
"OFFICE OF THE CHIEF INFORMATION OFFICER","VALIANT SOLUTIONS, LLC",500000
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","HP ENTERPRISE SERVICES, LLC",151247.52
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","WAYNE MOVING & STORAGE COMPANY, INC.",65723.5
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","AT&T CORP.",34866.48
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","QSA GLOBAL NATIONAL CORPORATION",5668.19
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","DEAF SERVICES UNLIMITED INC",5600
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","VETERAN ENTERPRISE TECHNOLOGY SERVICES, LLC",3536.96
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","GLOBAL EXPERIENCE SPECIALISTS, INC.",-0.01
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","MANAGEMENT CONCEPTS INCORPORATED",-111483.54
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","OBSIDIAN ANALYSIS, INC.",-117211.36
"OFFICE OF THE CHIEF PROCUREMENT OFFICER","FOX RELOCATION MANAGEMENT CORP",-430033.88
"OFFICE OF THE CHIEF READINESS SUPPORT OFFICER","ANNAMS SYSTEMS CORPORATION",14850
"OFFICE OF THE CHIEF READINESS SUPPORT OFFICER","MERIDIEN GROUP, LLC",-27140
"OFFICE OF THE CHIEF READINESS SUPPORT OFFICER","JADE CREEK CONSTRUCTION, LLC",-386830.4
"OFFICE OF THE CHIEF SECURITY OFFICER","TSYMMETRY, INC.",930736.95
"OFFICE OF THE CHIEF SECURITY OFFICER","CENTECH GROUP INC",714731.36
"OFFICE OF THE CHIEF SECURITY OFFICER","CSRA LLC",692688.62
"OFFICE OF THE CHIEF SECURITY OFFICER","HP ENTERPRISE SERVICES, LLC",100831.68
"OFFICE OF THE CHIEF SECURITY OFFICER","PANAMERICA COMPUTERS, INC.",83785.62
"OFFICE OF THE CHIEF SECURITY OFFICER","SAFEGUARD DOCUMENT DESTRUCTION INC.",10367.4
"OFFICE OF THE CHIEF SECURITY OFFICER","CAR COLLISION CENTER LLC",3215.25
"OFFICE OF THE CHIEF SECURITY OFFICER","DELOITTE CONSULTING LLP",-115912.53
"OFFICE OF THE CHIEF SECURITY OFFICER","CORDOVA SUPPORT SERVICES LIMITED",-837554
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","INTEGRATED FEDERAL SOLUTIONS, INC.",644829.51
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","FCN, INC.",591964.12
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","PROCENTRIX INCORPORATED",570726.84
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","SNL FINANCIAL LC",553769
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","GOVSMART, INC.",512730.9
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","SERVCORP LOS ANGELES LLC",398627
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","KNOWLEDGEBANK, INC.",362149.1
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","CARTRIDGE TECHNOLOGIES, INC.",275246.35
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","EPOCH CONCEPTS, LLC",242291.95
"OFFICE OF THE COMPTROLLER OF THE CURRENCY","DEE CONSULTING GROUP, LLC",210834
"OFFICE OF THE GENERAL COUNSEL","RAND CONSTRUCTION COMPANY",245220
"OFFICE OF THE GENERAL COUNSEL","SIXT GMBH & CO. AUTOVERMIETUNG KG",4272.75
"OFFICE OF THE INSPECTOR GENERAL","KELLY, ANDERSON & ASSOCIATES, INC",980094.4
"OFFICE OF THE INSPECTOR GENERAL","BLACKSTONE TECHNOLOGY GROUP",654211.8
"OFFICE OF THE INSPECTOR GENERAL","DELL FEDERAL SYSTEMS L.P.",478206.27
"OFFICE OF THE INSPECTOR GENERAL","AEEC, LLC",409533.6
"OFFICE OF THE INSPECTOR GENERAL","FORD MOTOR COMPANY",278138
"OFFICE OF THE INSPECTOR GENERAL","FCI FEDERAL, INC",275711.36
"OFFICE OF THE INSPECTOR GENERAL","GENERAL MOTORS LLC",263837
"OFFICE OF THE INSPECTOR GENERAL","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",261623.64
"OFFICE OF THE INSPECTOR GENERAL","ESC, INC.",260312.44
"OFFICE OF THE INSPECTOR GENERAL","STRATEGIC ENTERPRISE SOLUTIONS, INC.",242809.14
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","THOMSON REUTERS SPECIAL SERVICES LLC",163186.57
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","RELM COMMUNICATIONS INC",95960
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","GARTNER, INC.",93910
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","EXECUTIVE INFORMATION SYSTEMS,",84620.06
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","EMERGENT, LLC",67065
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","GOVERNMENT ACQUISITIONS, INC.",46356
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","STONS INC",39982.5
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","FCN, INC.",35226
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","GOVSMART, INC.",27907.14
"OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION","COMPUTER MISSION",22500.78
"OFFICE OF THE SECRETARY","MANAGED CARE ADVISORS, INC.",893540.36
"OFFICE OF THE SECRETARY","DISYS SOLUTIONS, INC.",821116.75
"OFFICE OF THE SECRETARY","INSIGHT PUBLIC SECTOR, INC.",658141.07
"OFFICE OF THE SECRETARY","N-LINK LSG JOINT VENTURE",602800.82
"OFFICE OF THE SECRETARY","SERVICE SOURCE, INC",601877.81
"OFFICE OF THE SECRETARY","WU CONSULTING LIMITED LIABILITY COMPANY",597400
"OFFICE OF THE SECRETARY","CHIMES DISTRICT OF COLUMBIA, INC.",561144.57
"OFFICE OF THE SECRETARY","M. ARTHUR GENSLER JR. & ASSOCIATES, INC.",524954.18
"OFFICE OF THE SECRETARY","CACI INC FEDERAL",475822.97
"OFFICE OF THE SECRETARY","REED ELSEVIER, INC",421426.51
"OFFICE OF THE SOLICITOR","ARDELLE ASSOCIATES, INC.",588607.24
"OFFICE OF THE SOLICITOR","RELX INC.",110666
"OFFICE OF THE SOLICITOR","APPRIO, INC.",39966.85
"OFFICE OF THE SOLICITOR","MIDWEST REPORTERS, INC.",27784.68
"OFFICE OF THE SOLICITOR","MARTEKD2DINC J.V.",24100
"OFFICE OF THE SOLICITOR","PARKING MANAGEMENT, INC.",18900
"OFFICE OF THE SOLICITOR","PIFINITY, INC.",18871
"OFFICE OF THE SOLICITOR","ENVIRONMENT & ENERGY PUBLISHING, LLC",18375
"OFFICE OF THE SOLICITOR","HERITAGE REPORTING CORP",18225.2
"OFFICE OF THE SOLICITOR","FEDERAL TECHNOLOGY SOLUTIONS I",18024.98
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","CARAHSOFT TECHNOLOGY CORPORATION",677136.89
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","DELOITTE & TOUCHE LLP",613612.6
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",312296.7
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","BAE SYSTEMS INFORMATION SOLUTIONS, INC.",282764
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","BLOOMBERG FINANCE L.P.",231756
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","GB-SYS, INC.",162971.83
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","QWEST GOVERNMENT SERVICES INC",97755.49
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","GOVERNMENT ACQUISITIONS, INC.",76430.3
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","SAP GOVERNMENT SUPPORT AND SERVICES, INC.",66047.89
"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS","CARDSMART TECHNOLOGIES, INC.",49982
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","BOOZ ALLEN HAMILTON INC",954811.84
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","MANAGEMENT CONCEPTS INCORPORATED",765436
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","NEW EDITIONS, INC.",540817.16
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","BOOZ ALLEN HAMILTON INC.",459580.8
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","ARDENT MANAGEMENT CONSULTING INCORPORATED",439929.4
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","MYTHICS, INC",429353.15
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","ECOHEALTH ALLIANCE INC.",390394.33
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","V3 GATE TEAM, LLP",355779.6
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","HERMAN MILLER, INC.",298285.14
"OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT","CORDOVA SUPPORT SERVICES LIMITED",273211.21
"OFFICE OF WORKERS COMPENSATION PROGRAM","SIDEM, LLC",146430.91
"OFFICE OF WORKERS COMPENSATION PROGRAM","PANACEA CONSULTING INC",123013.94
"OFFICE OF WORKERS COMPENSATION PROGRAM","AVAR CONSULTING, INC.",110651.74
"OFFICE OF WORKERS COMPENSATION PROGRAM","CHRISTOPHER GROSS CONSULTING, INC.",91393.2
"OFFICE OF WORKERS COMPENSATION PROGRAM","VERDI CONSULTING, INC.",59828
"OFFICE OF WORKERS COMPENSATION PROGRAM","DATA ENTRY COMPANY, THE",55118.09
"OFFICE OF WORKERS COMPENSATION PROGRAM","XEROX CORPORATION",54975.74
"OFFICE OF WORKERS COMPENSATION PROGRAM","YORK STENOGRAPHIC SERVICES INC",31500
"OFFICE OF WORKERS COMPENSATION PROGRAM","IMMIXTECHNOLOGY, INC.",23161.05
"OFFICE OF WORKERS COMPENSATION PROGRAM","KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED",17055.31
"OFFICES, BOARDS AND DIVISIONS","PARAGON SYSTEMS, INC",984244.9
"OFFICES, BOARDS AND DIVISIONS","MAZARS LLP",950000
"OFFICES, BOARDS AND DIVISIONS","AFFIGENT, LLC",939151.28
"OFFICES, BOARDS AND DIVISIONS","ANALYSIS GROUP,INC.",850000
"OFFICES, BOARDS AND DIVISIONS","KPMG LLP",844848
"OFFICES, BOARDS AND DIVISIONS","WEST PUBLISHING CORPORATION",764591.92
"OFFICES, BOARDS AND DIVISIONS","GRANT THORNTON L.L.P.",760363.84
"OFFICES, BOARDS AND DIVISIONS","NEW AGE PROTECTION, INC.",683767.2
"OFFICES, BOARDS AND DIVISIONS","NETCOM TECHNOLOGIES INCORPORATED",650000
"OFFICES, BOARDS AND DIVISIONS","R G S ASSOCIATES INC",549467.04
"OVERSEAS PRIVATE INVESTMENT CORPORATION","RSR INTERNATIONAL, LLC",711853.07
"OVERSEAS PRIVATE INVESTMENT CORPORATION","CARAHSOFT TECHNOLOGY CORPORATION",525195.2
"OVERSEAS PRIVATE INVESTMENT CORPORATION","ORRICK, HERRINGTON & SUTCLIFFE LLP",450000
"OVERSEAS PRIVATE INVESTMENT CORPORATION","ORACLE AMERICA, INC.",444539.18
"OVERSEAS PRIVATE INVESTMENT CORPORATION","CLIFTONLARSONALLEN LLP",333772
"OVERSEAS PRIVATE INVESTMENT CORPORATION","MORRISON, MATTHEW",235000
"OVERSEAS PRIVATE INVESTMENT CORPORATION","HILLS STERN & MORLEY LLP",182000
"OVERSEAS PRIVATE INVESTMENT CORPORATION","ISYS, LLC",182000
"OVERSEAS PRIVATE INVESTMENT CORPORATION","LIBRARY ASSOCIATES OF MARYLAND LIMITED LIABILITY COMPANY",158502.84
"OVERSEAS PRIVATE INVESTMENT CORPORATION","CDW GOVERNMENT LLC",148952.47
"PEACE CORPS","ALVAREZ, LLC",863606.33
"PEACE CORPS","PRICEWATERHOUSECOOPERS PUBLIC SECTOR LLP",792592.86
"PEACE CORPS","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",758543.7
"PEACE CORPS","SYSTEGRA, INC.",701667.6
"PEACE CORPS","OBXTEK INC.",538785.6
"PEACE CORPS","SEVEN CORNERS, INC",500000
"PEACE CORPS","PROCENTRIX INCORPORATED",469996.8
"PEACE CORPS","MCKESSON CORPORATION",418359.84
"PEACE CORPS","T-MOBILE USA INC",353466.32
"PEACE CORPS","TRUETANDEM, LLC",260000
"PENSION BENEFIT GUARANTY CORPORATION","COTTON & COMPANY LLP",881813
"PENSION BENEFIT GUARANTY CORPORATION","CACI INC FEDERAL",865500
"PENSION BENEFIT GUARANTY CORPORATION","PAC SOLUTIONS",830083.25
"PENSION BENEFIT GUARANTY CORPORATION","BLACKROCK FINANCIAL MANAGEMENT INC.",800000
"PENSION BENEFIT GUARANTY CORPORATION","PJT PARTNERS LP",800000
"PENSION BENEFIT GUARANTY CORPORATION","PL SYSTEMS, LLC",781945.46
"PENSION BENEFIT GUARANTY CORPORATION","SHI INTERNATIONAL CORP.",764573.54
"PENSION BENEFIT GUARANTY CORPORATION","SPECTRUM INTERNATIONAL, INC.",755980.72
"PENSION BENEFIT GUARANTY CORPORATION","DELOITTE FINANCIAL ADVISORY SERVICES LLP",752818.88
