coc_number,value
TN-500,29574345
TN-501,48996096.4
TN-502,11456559
TN-503,25287092
TN-504,44847788
TN-506,14601927
TN-507,26340680
TN-509,21469649
TN-510,12473551
TN-512,24837616
TX-500,118678896
TX-503,57440714
TX-600,92520983
TX-601,41048533
TX-603,51755870
TX-604,12407439
TX-607,470385022.1
TX-624,11939201
TX-700,156657202
TX-701,4739747
UT-500,46638966
UT-503,55462158
UT-504,12828635
VA-500,34590356
VA-501,11032633
VA-502,3564427.42
VA-503,1433825
VA-504,4744915
VA-505,21594515
VA-507,5015661
VA-508,3373998
VA-513,1515410
VA-514,4676482.94
VA-521,72542259.9
VA-600,2310679
VA-601,32963323
VA-602,2132861
VA-603,9717077
VA-604,3306029
VI-500,14252269
VT-500,38002578
VT-501,9300527
WA-500,130847904
WA-501,119662098
WA-502,23871790
WA-503,13457025
WA-504,20749480.37
WA-507,43064305
WA-508,8922790.16
WI-500,101899098.3
WI-501,55000853
WI-502,5113495
WI-503,27078954
WV-500,8296749
WV-501,9335669.87
WV-503,12626306
WV-508,77888374.96
WY-500,25439857
