source,target,value
Natural Resources And Environment,Travel And Transportation,820636796.62
Agriculture,Acquisition Of Assets,811203874.15
Social Security,"Grants, Subsidies, And Contributions",771186053.11
Agriculture,"Rent, Communications, And Utilities",759866683.63
Income Security,Interest And Dividends,719730263.75
Health,Travel And Transportation,656644980.82
"Regional Development, Commerce, And Housing",Travel And Transportation,645857181.59
Agriculture,Travel And Transportation,580916702.78
"Regional Development, Commerce, And Housing",Interest And Dividends,491469456.12
"Regional Development, Commerce, And Housing",Printing And Supplies,449975254.42
National Defense,Refunds,426968333.05
Health,Acquisition Of Assets,426381856.08
Income Security,"Rent, Communications, And Utilities",323245494.22
Administration Of Justice,Other,294322151.78
Income Security,Refunds,293692797.03
"Energy, Science, Space, And Technology","Rent, Communications, And Utilities",289661048.31
"Education, Training, Employment, And Social Services",Other,273314533.12
General Government,Travel And Transportation,233364304.70
"Education, Training, Employment, And Social Services","Rent, Communications, And Utilities",195675920.26
Social Security,Acquisition Of Assets,189935099.61
Health,Refunds,171836854.84
Income Security,Acquisition Of Assets,163439481.11
"Energy, Science, Space, And Technology",Interest And Dividends,163163216.50
"Energy, Science, Space, And Technology",Printing And Supplies,153549506.45
Medicare,Personnel Compensation And Benefits,129792831.22
"Education, Training, Employment, And Social Services",Acquisition Of Assets,94618006.91
Social Security,Printing And Supplies,83171097.47
Natural Resources And Environment,Insurance Claims And Indemnities,77243615.12
Income Security,Travel And Transportation,64059197.99
International Affairs,Refunds,45260487.14
Transportation,Insurance Claims And Indemnities,43347557.83
"Education, Training, Employment, And Social Services",Insurance Claims And Indemnities,33600098.43
Social Security,Travel And Transportation,30248356.24
"Education, Training, Employment, And Social Services",Travel And Transportation,29066553.84
Veterans Benefits And Services,Other,24742099.20
"Energy, Science, Space, And Technology",Refunds,20555841.62
International Affairs,Insurance Claims And Indemnities,19363217.61
Transportation,Interest And Dividends,8762391.77
National Defense,Interest And Dividends,8314745.59
"Education, Training, Employment, And Social Services",Printing And Supplies,8294544.20
Medicare,"Rent, Communications, And Utilities",5987606.50
Natural Resources And Environment,Interest And Dividends,3702532.71
Medicare,Refunds,3242691.62
"Regional Development, Commerce, And Housing",Refunds,3130319.75
Agriculture,Interest And Dividends,2786181.35
Net Interest,"Advisory, R&D, Medical, And Other Contracts",924764.00
Health,Interest And Dividends,892065.25
"Energy, Science, Space, And Technology",Insurance Claims And Indemnities,784419.69
Medicare,Travel And Transportation,671106.89
Medicare,Acquisition Of Assets,187670.62
Administration Of Justice,Interest And Dividends,136329.21
Veterans Benefits And Services,Interest And Dividends,101675.50
International Affairs,Interest And Dividends,77254.76
Agriculture,Refunds,55637.86
Medicare,Printing And Supplies,47586.23
"Education, Training, Employment, And Social Services",Interest And Dividends,38975.36
Medicare,Interest And Dividends,87.00
