COC_Number,COC_Name,amount
VA-601,Fairfax County CoC,32963323
IL-520,Southern Illinois CoC,32240158
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",31839859
FL-508,"Gainesville/Alachua, Putnam Counties CoC",31793560.38
MD-601,Montgomery County CoC,31247086
MI-505,Flint/Genesee County CoC,30982437
CA-520,Merced City & County CoC,30143740
NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,29950515
DE-500,Delaware Statewide CoC,29921846
MA-504,Springfield CoC,29798880
AK-500,Anchorage CoC,29610226
TN-500,Chattanooga/Southeast Tennessee CoC,29574345
OH-506,Akron/Barberton/Summit County CoC,29194550
MI-506,Grand Rapids/Wyoming/Kent County CoC,29180560
CA-524,Yuba City & County/Sutter County CoC,29097161.28
OK-505,Northeast Oklahoma CoC,29049868
LA-502,Shreveport/Bossier/Northwest CoC,27999064
AR-504,Delta Hills CoC,27781167
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",27277259.57
WI-503,Madison/Dane County CoC,27078954
KY-502,Lexington/Fayette County CoC,26608740
AR-505,Southeast Arkansas,26607799
CA-510,Turlock/Modesto/Stanislaus County CoC,26349960
TN-507,Jackson/West Tennessee CoC,26340680
LA-505,Monroe/Northeast Louisiana CoC,25902428
WY-500,Wyoming Statewide CoC,25439857
NV-500,Las Vegas/Clark County CoC,25321079
TN-503,Central Tennessee CoC,25287092
IL-504,Madison County CoC,25016280.47
OK-501,Tulsa City & County/Broken Arrow CoC,24957438
FL-601,Ft Lauderdale/Broward County CoC,24852013.73
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",24837616
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",24600805
CA-506,"Salinas/Monterey, San Benito Counties CoC",24105387
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,24060956
MI-508,Lansing/East Lansing/Ingham County CoC,23921134.22
WA-502,Spokane City & County CoC,23871790
MN-505,St. Cloud/Central Minnesota CoC,23560577.88
IL-517,Aurora/Elgin/Kane County CoC,23119268.25
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",22962677
CO-504,Colorado Springs/El Paso County CoC,22867351
AL-503,Huntsville/North Alabama CoC,22761243.41
MA-519,Attleboro/Taunton/Bristol County CoC,22386100
NJ-514,Trenton/Mercer County CoC,22312503.02
CA-613,Imperial County CoC,22292121
MN-501,Saint Paul/Ramsey County CoC,22133969
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC",21931768
NC-505,Charlotte/Mecklenberg CoC,21612441
VA-505,Newport News/Hampton/Virginia Peninsula CoC,21594515
TN-509,Appalachian Regional CoC,21469649
AR-500,Little Rock/Central Arkansas CoC,21370906
MI-504,Pontiac/Royal Oak/Oakland County CoC,20821162
WA-504,Everett/Snohomish County CoC,20749480.37
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,20688661
GA-505,Columbus-Muscogee/Russell County CoC,20554632
IL-518,Rock Island/Moline/Northwestern Illinois CoC,20237889
NJ-511,Paterson/Passaic County CoC,19628614
CA-509,Mendocino County CoC,19537304
AL-505,Gadsden/Northeast Alabama CoC,19519409
FL-604,Monroe County CoC,19494436
NV-501,Reno/Sparks/Washoe County CoC,19183179
LA-509,Louisiana Balance of State,19112465
NY-507,Schenectady City & County CoC,19103951.6
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",18945441
HI-500,Hawaii Balance of State CoC,18890874
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",18858180
MS-503,Gulf Port/Gulf Coast Regional CoC,18833095
OH-501,Toledo/Lucas County CoC,18813957
OR-502,Medford/Ashland/Jackson County CoC,18739970.84
FL-503,Lakeland/Winter Haven/Polk County CoC,18699357
FL-513,Palm Bay/Melbourne/Brevard County CoC,18568279.79
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",18486754
LA-506,Slidell/Southeast Louisiana CoC,18368466
CA-512,Daly/San Mateo County CoC,18356018
FL-510,"Jacksonville-Duval, Clay Counties CoC",17971188
GA-504,Augusta CoC,17655702.64
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,17263248
MI-510,Saginaw City & County CoC,17250616
CA-603,Santa Maria/Santa Barbara County CoC,17231378.14
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",17015442.21
IL-513,Springfield/Sangamon County CoC,16727870
NV-502,Nevada Balance of State CoC,16715780
FL-511,Pensacola/Escambia/Santa Rosa County CoC,16644986
NC-504,Greensboro/High Point CoC,16546316.24
OK-500,North Central Oklahoma CoC,16540210
CA-517,Napa City & County CoC,16083939
CA-508,Watsonville/Santa Cruz City & County CoC,15793247
